,authors,English Title,Japanese Title,Link,Year
75,"米田信夫 (YONEDA,NOBUO )",Theory of Computer Architecture ,計算機構論研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/75.html,1969
76,"中西襄 (NAKANISHI,NOBORU )",Bethe-Salpeter Equation and the Theory of Regge Pole ,Ｂｅｔｈｅ−Ｓａｌｐｅｔｅｒ方程式とＲｅｇｇｅ　Ｐｏｌｅ理論研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/76.html,1969
77,"竹之内脩 (TAKENOUCHI,OSAMU )",Proceeding of the Conference on Operator Ring ,作用素環の研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/77.html,1969
78,"松村英之 (MATSUMURA,HIDEYUKI )",Complex Analytic Geometry ,複素解析幾何学研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/78.html,1969
79,"竹之内脩 (TAKENOUCHI,OSAMU )",Functional Analysis Concerning to Function Theory ,関数論と関連する関数解析研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/79.html,1969
80,"巽友正 (TATSUMI,TOMOMASA )",Proceeding of the Conference on the Approximate Solutions in the Statistical Hydrodynamics ,統計流体力学における近似解法の研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/80.html,1970
81,"長谷川利治 (HASEGAWA,TOSHIHARU )",Many-Valued Logic and Its Applications ,多値論理およびその応用研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/81.html,1970
82,"池田貞雄 (IKEDA,SADAO )",Combinatorial Problems in the Information Sciences and Experimental Design ,情報理論・実験計画法における組合せ数学の諸問題研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/82.html,1970
83,"斎藤信彦 (SAITO,NOBUHIKO )",Proceeding of the Conference on Solitons ,ソリトンの研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/83.html,1970
84,"竜沢周雄 (TATSUZAWA,CHIKAO )",Analytic Number Theory ,解析的整数論研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/84.html,1970
85,"占部実 (URABE,MINORU )",Theory of Nonlinear Oscillations ,非線型振動理論の研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/85.html,1970
86,"柘植利之 (TSUGE,TOSHIYUKI )",Proof Theory and Recursion Theory ,Ｐｒｏｏｆ　ＴｈｅｏｒｙとＲｅｃｕｒｓｉｏｎ　Ｔｈｅｏｒｙ研究会 報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/86.html,1970
87,"木村俊房 (KIMURA,TOSHIFUSA )",On the Global Theory in the Ordinary Differential Equations ,常微分方程式における大域的理論について ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/87.html,1970
88,"吉田耕作 (YOSIDA,KOSAKU )",Partial Differential Equations by the Method of Functional Analysis ,位相解析的方法による偏微分方程式論の研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/88.html,1970
89,"久保田富雄 (KUBOTA,TOMIO )",Recent Topics in Algebraic Number Theory ,代数的整数論における最近の諸問題研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/89.html,1970
90,"北川敏男 (KITAGAWA,TOSHIO )",Proceeding of the Conference on the Theory of the Control Process 2 ,制御過程論２ ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/90.html,1970
91,"高橋秀俊 (TAKAHASI,HIDETOSI )",Algorithms for Fundamental Library for Scientific Applications ,科学計算基本ライブラリーのアルゴリズムの研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/91.html,1970
92,"上野季夫 (UENO,SUEO )",Equation of Radiation Gas Dynamics ,輻射ガス力学の運動方程式の研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/92.html,1970
93,"山口昌哉 (YAMAGUTI,MASAYA )",Difference Methods for Evolution Equation ,発展系の差分解法研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/93.html,1970
94,"中井喜和 (NAKAI,YOSHIKAZU )",Derivations and Cohomology of Algebra ,Ｄｅｒｉｖａｔｉｏｎｓ及びＡｌｇｅｂｒａのＣｏｈｏｍｏｌｏｇｙ研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/94.html,1970
95,"池田貞雄 (IKEDA,SADAO )",Combinatorial Problems in the Information Sciences and Experimental Design 2 ,情報理論・実験計画法における組合せ数学の諸問題研究報告集２ ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/95.html,1970
96,"和田淳蔵 (WADA,JUNZO )",Function Space ,Ｆｕｎｃｔｉｏｎ　Ｓｐａｃｅ研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/96.html,1970
97,"後藤金英 (GOTO,KANEFUSA )",Nonlinear Problems on the Stability of Laminous Flow ,層流の安定性に関する非線形問題研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/97.html,1970
98,"一松信 (HITOTSUMATSU,SHIN )",Problems of Game-Playing and Puzzle-Solving by Computer ,計算機によるゲームとパズルをめぐる諸問題研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/98.html,1970
99,"北川敏男 (KITAGAWA,TOSHIO )",Proceeding of the Conference on the Theory of Control Process 1 ,制御過程論研究会報告集１ ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/99.html,1970
100,"中村得之 (NAKAMURA,TOKUSHI )",On the Cohomology of a Group ,群のコホモロジーについて ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/100.html,1970
101,"今井功 (IMAI,ISAO )",Proceeding of the Conference on Non-Stationary Problems in Hydrodynamics ,流体力学における非定常問題研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/101.html,1970
102,"池部晃生 (IKEBE,TERUO )",Proceeding of the Conference on Scattering Theory and Its Vicinity ,散乱理論とその周辺研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/102.html,1970
103,"松永弘道 (MATSUNAGA,HIROMICHI )",Proceeding of the Conference on Extraordinary Cohomology Theories ,Ｅｘｔｒａｏｒｄｉｎａｒｙ　Ｃｏｈｏｍｏｌｏｇｙ　Ｔｈｅｏｒｉｅ ｓ研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/103.html,1970
104,"梅垣寿春 (UMEGAKI,HISAHARU )",Proceeding of the Conference on Operator Algebra and Its Application ,Ｏｐｅｒａｔｏｒ　Ａｌｇｅｂｒａとその応用研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/104.html,1970
105,"吉沢太郎 (YOSHIZAWA,TARO )",Proceeding of the Conference on Qualitative Theory of the Solutions of an Ordinary Differential Equation ,常微分方程式の解の定性的研究会報告集 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/105.html,1971
106,"藤田宏 (FUJITA,HIROSHI )",Nonlinear Evolution Equation and Its Approximation Theory ,非線型発展方程式とその近似理論 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/106.html,1971
107,"一松信 (HITOTUMATU,SIN )",Fundamental Theories in Numerical Analysis ,数値解析の基礎理論 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/107.html,1971
108,"小松彦三郎 (KOMATSU,HIKOSABURO )",Sato's Hyperfunction and Its Vicinity ,佐藤の超函数論とその周辺 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/108.html,1971
109,"一松信 (HITOTSUMATSU,SHIN )",Formula Manipulations by Computer ,電子計算機による数式処理 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/109.html,1971
110,"渡利千波 (WATARI,CHINAMI )",Fourier Analysis ,フーリエ解析 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/110.html,1971
111,"大林忠夫 (OBAYASHI,TADAO )",Group Ring of a Finite Group and Its Representation ,有限群の群環と表現論 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/111.html,1971
112,"佐藤健一 (SATO,KENICHI )",Theory of Markov Process ,マルコフ過程論 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/112.html,1971
113,"占部実 (URABE,MINORU )",Ordinary Differential Equation and Nonlinear Dynamics ,常微分方程式と非線形力学 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/113.html,1971
114,"小松彦三郎 (KOMATSU,HIKOSABURO )",Sato's Hyperfunction and Its Applications ,佐藤の超函数とその応用 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/114.html,1971
115,"高橋秀俊 (TAKAHASI,HIDETOSI )",Algorithms for Fundamental Libraries for Scientific Computation ,科学計算基本ライブラリーのアルゴリズム ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/115.html,1971
116,"小平邦彦 (KODAIRA,KUNIHIKO )",Theory of Algebraic Varieties and Complex Manifolds ,代数多様体，複素多様体の理論 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/116.html,1971
117,"占部実 (URABE,MINORU )",Stability Problem of Dynamical System ,力学系の安定問題 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/117.html,1971
118,"関根克彦 (SEKINE,KATSUHIKO )",Definition of Hamiltonian and the Spectra ,ハミルトニアンの定義とスペクトル ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/118.html,1971
119,"高須達 (TAKASU,SATORU )",Fundamental Theory of Programming ,プログラムの基礎理論 ,http://www.kurims.kyoto-u.ac.jp/~kyodo/kokyuroku/contents/119.html,1971
